criterion	status	requirement	executable_evidence	command	tracking
1	verified	One release artifact carries mcp-client, mcp-standalone, and backend-node without forks	scripts/exocortex::case "$mode" in;xtask/src/main.rs::fn deployment_acceptance()	cargo xtask deployment-acceptance	-
2	verified	Ontology is single-source Rust and every authoritative non-Rust catalogue is generated; fingerprint is stable and kind-sensitive	xtask/src/main.rs::fn ontology_surfaces();crates/exocortex-kernel/tests/pack_registration.rs::fingerprint_is_order_independent_and_kind_sensitive;crates/exocortex-pack-dev-v1/tests/loads_correctly.rs::golden_fingerprint_is_pinned	cargo xtask ontology-surfaces && cargo test -p exocortex-kernel --test pack_registration fingerprint_is_order_independent_and_kind_sensitive && cargo test -p exocortex-pack-dev-v1 --test loads_correctly golden_fingerprint_is_pinned	-
3	verified	All nine rules execute in every deployment mode and R1-R3 fire on their exact edge kinds	crates/exocortex-reasoning/src/acceptance.rs::verify_nine_catalogued_rules;xtask/src/main.rs::fn deployment_acceptance()	cargo xtask deployment-acceptance	-
4	verified	Bi-temporal rows round-trip	crates/exocortex-storage/tests/in_memory_props.rs::bi_temporal_roundtrip_prop	cargo test -p exocortex-storage --test in_memory_props bi_temporal_roundtrip_prop	-
5	verified	SimilarTo edges carry computed producer and threshold identity	crates/exocortex-ingest/tests/round1_e2e.rs::dreams_cycle_over_ingested_data	cargo test -p exocortex-ingest --test round1_e2e dreams_cycle_over_ingested_data	-
6	verified	Writes materialize inverse companions	crates/exocortex-ingest/tests/e2e.rs::inverse_materialized_on_write;crates/exocortex-pack-dev-v1/tests/loads_correctly.rs::inverse_materialization_pairs_are_symmetric	cargo test -p exocortex-ingest --test e2e inverse_materialized_on_write && cargo test -p exocortex-pack-dev-v1 --test loads_correctly inverse_materialization_pairs_are_symmetric	-
7	verified	Reasoning queue overflow is surfaced rather than silently dropped	crates/exocortex-reasoning/tests/rules.rs::queue_overflow_is_observable_not_silent	cargo test -p exocortex-reasoning --test rules queue_overflow_is_observable_not_silent	-
8	verified	Entity extraction occurs before the shared storage seam for every backend	crates/exocortex-ingest/tests/ingest.rs::stored_memories_carry_extracted_entities;crates/exocortex-ingest/tests/ingest.rs::entities_extracted_server_side	cargo test -p exocortex-ingest --test ingest stored_memories_carry_extracted_entities && cargo test -p exocortex-ingest --test ingest entities_extracted_server_side	-
9	verified	Conversation grouping is present and stable across ingest and standalone surfaces	crates/exocortex-ingest/tests/grouping.rs::two_batches_group_under_one_conversation_across_restart;crates/exocortex-client/tests/standalone_readback.rs::grouping_parity_with_backend_commit_path	cargo test -p exocortex-ingest --test grouping two_batches_group_under_one_conversation_across_restart && cargo test -p exocortex-client --test standalone_readback grouping_parity_with_backend_commit_path	-
10	verified	Discovery is emitted as a proposal and never persisted as an edge	crates/exocortex-dreams/tests/dreams.rs::discovery_is_a_proposal_not_an_edge;crates/exocortex-dreams/tests/dreams.rs::transitive_finder_proposes_only_open_indirect_pairs	cargo test -p exocortex-dreams --test dreams discovery_is_a_proposal_not_an_edge && cargo test -p exocortex-dreams --test dreams transitive_finder_proposes_only_open_indirect_pairs	-
11	verified	Discovery surface quality and metric quality use one stamped value	crates/exocortex-dreams/tests/dreams.rs::transitive_finder_proposes_only_open_indirect_pairs;crates/exocortex-dreams/src/lib.rs::discovery_metric_reports_the_stamped_quality	cargo test -p exocortex-dreams --test dreams transitive_finder_proposes_only_open_indirect_pairs && cargo test -p exocortex-dreams --lib discovery_metric_reports_the_stamped_quality	-
12	verified	Transitive discovery excludes already-derived endpoint pairs	crates/exocortex-dreams/tests/dreams.rs::transitive_finder_proposes_only_open_indirect_pairs	cargo test -p exocortex-dreams --test dreams transitive_finder_proposes_only_open_indirect_pairs	-
13	deferred	Contradiction records support resolution	-	-	D7 (§23 #13; round-2 H14)
14	verified	Every embedding and MCR2 result carries its model version	crates/exocortex-kernel/tests/embedding.rs::embedding_vector_and_model_revision_round_trip_together;crates/exocortex-ingest/tests/round1_e2e.rs::dreams_cycle_over_ingested_data;crates/exocortex-dreams/tests/dreams.rs::mcr2_cross_model_comparison_is_prohibited	cargo test -p exocortex-kernel --test embedding && cargo test -p exocortex-ingest --test round1_e2e dreams_cycle_over_ingested_data && cargo test -p exocortex-dreams --test dreams mcr2_cross_model_comparison_is_prohibited	-
15	partial-deferred	Three nodes converge p95 under 500ms, transfer owner lease without duplicate consolidation, and reject stale epochs; partition/heal remains deferred	crates/exocortex-server/tests/backend_node.rs::three_node_p95_handoff_no_duplicate_and_stale_fence	cargo test -p exocortex-server --test backend_node three_node_p95_handoff_no_duplicate_and_stale_fence -- --test-threads=1	D11 (§23 #15 partition/heal only)
16	verified	Cache rebuild from storage is a first-class CI-exercised operation	crates/exocortex-cache/tests/cache.rs::reseed_matches_storage_after_every_write;crates/exocortex-cache/tests/cache.rs::reseed_skips_deleted_rows	cargo test -p exocortex-cache --test cache reseed_matches_storage_after_every_write && cargo test -p exocortex-cache --test cache reseed_skips_deleted_rows	-
17	verified	Interactive search and k-hop latency budgets pass executable benchmarks	xtask/src/main.rs::fn bench()	cargo xtask bench	-
18	verified	One harness-facing MCP end_session traverses local cache, durable WAL, sync, backend commit, SSE, and a distinct sibling observation within 500ms	crates/exocortex-server/tests/e2e_chain.rs::mcp_wal_sync_backend_sse_sibling_is_one_chain_under_500ms	cargo build -p exocortex-client --bin exocortex-mcp-client && cargo test -p exocortex-server --test e2e_chain mcp_wal_sync_backend_sse_sibling_is_one_chain_under_500ms	-
19	verified	No LLM provider can be invoked by the v1 suite or executable source	xtask/src/gates.rs::no_llm_rejects_generated_target_fixture;xtask/src/main.rs::fn no_llm();xtask/src/main.rs::fn mock_provider_audit()	cargo test -p xtask no_llm_rejects_generated_target_fixture && cargo xtask no-llm && cargo xtask mock-provider-audit	-
20	verified	A three-node owner-leased backend runs the full event-driven Dreams lifecycle and resets counters	crates/exocortex-server/tests/backend_node.rs::three_node_owner_runs_full_event_driven_dreams_lifecycle;crates/exocortex-dreams/src/trigger.rs::age_floor_fires_on_stale_region	cargo test -p exocortex-server --test backend_node three_node_owner_runs_full_event_driven_dreams_lifecycle -- --test-threads=1 && cargo test -p exocortex-dreams --lib age_floor_fires_on_stale_region	-
21	deferred	One org graph with 100-user visibility fuzz and cross-user discovery has zero leaks	-	-	D9 (§23 #21; round-2 H10)
22	deferred	Three regions consolidate concurrently and reconcile within per-region MCR2 budgets	-	-	D9 (§23 #22; round-2 H10)
23	partial-deferred	Wire mismatch refuses admission; throughput fanout and additive rollout remain deferred	crates/exocortex-cluster/tests/cluster.rs::peer_admission_rejects_wire_version_mismatch	cargo test -p exocortex-cluster --test cluster peer_admission_rejects_wire_version_mismatch	D10 (§23 #23; round-2 H10)
24	verified	Every Dreams cycle stamps before/after sparsity and independently trips delta-R and hairball guardrails	crates/exocortex-dreams/tests/dreams.rs::merge_rewiring_trips_default_hairball_without_delta_r_regression;crates/exocortex-dreams/tests/dreams.rs::poison_consolidation_flags_regression_and_rolls_back	cargo test -p exocortex-dreams --test dreams merge_rewiring_trips_default_hairball_without_delta_r_regression && cargo test -p exocortex-dreams --test dreams poison_consolidation_flags_regression_and_rolls_back && cargo xtask acceptance-coverage	-
25	verified	Dev-v1 owns 13 memory types, 12 entities, and 48 kinds; kernel names none; omission fails at link time	crates/exocortex-pack-dev-v1/tests/loads_correctly.rs::loads_correctly;xtask/src/gates.rs::kernel_pack_independence_rejects_a_direct_dev_v1_name_fixture;xtask/src/main.rs::verify_pack_link_contract	cargo test -p exocortex-pack-dev-v1 --test loads_correctly loads_correctly && cargo test -p xtask kernel_pack_independence_rejects_a_direct_dev_v1_name_fixture && cargo xtask kernel-purity	-
26	deferred	A second pack compiles beside dev-v1 and changes the effective fingerprint	-	-	D2 (§23.26; §24)
27	verified	Session-wrapup rejects every RejectCode through targeted malformed batches and snapshot bumps preserve additional temporal assertions	crates/exocortex-ingest/tests/ingest.rs::reject_code_target_manifest_is_exhaustive_and_executable;crates/exocortex-server/tests/e2e_chain.rs::two_sync_snapshot_bump_upserts_same_row_new_pk_appends;crates/exocortex-storage/tests/in_memory_props.rs::bi_temporal_roundtrip_prop;crates/exocortex-storage/tests/in_memory_props.rs::relationship_assertion_history_is_bitemporal;crates/exocortex-storage/tests/integration.rs::bi_temporal_valid_at	cargo test -p exocortex-ingest --test ingest --test e2e --test external_key && cargo test -p exocortex-server --test e2e_chain two_sync_snapshot_bump_upserts_same_row_new_pk_appends && cargo test -p exocortex-storage --test in_memory_props && FALKOR_URL=falkor://127.0.0.1:16379 cargo test -p exocortex-storage --features integration --test integration bi_temporal_valid_at	-
28	verified	Team-to-Org widening rejects and promotion is the sole audited widening path	crates/exocortex-ingest/tests/ingest.rs::visibility_widening_rejected_under_lowered_ceiling;crates/exocortex-ops/tests/parity.rs::promote_visibility_writes_audit_record	cargo test -p exocortex-ingest --test ingest visibility_widening_rejected_under_lowered_ceiling && cargo test -p exocortex-ops --test parity promote_visibility_writes_audit_record	-
29	partial-deferred	External identity is deterministic, layout-immune, and forks only on mapping version	crates/exocortex-kernel/tests/ids.rs::external_identity_is_layout_immune_property	cargo test -p exocortex-kernel --test ids external_identity_is_layout_immune_property	D1 (§18.4 and §24 full Iceberg repartition replay)
30	verified	Kernel rejects all table-reader dependency families while worker may link them	xtask/src/gates.rs::kernel_purity_rejects_every_aws_sdk_crate_but_allows_worker_readers	cargo test -p xtask kernel_purity_rejects_every_aws_sdk_crate_but_allows_worker_readers && cargo xtask kernel-purity	-
